Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N
0,576.0751562737335,576.0751562737335,576.0756831376291,2019730.8188135864,nan,159720.69595125286,8.604138304064543,-1,-0.9145740933897943,0.8591841639497192,0.0,0.5155104983698315,16.0,0.8,0.64,O16 -R,radical,,0,,C25 H20 O16,25,20,16,
1,585.0773168347159,585.0773168347159,584.069022064519,1746260.2046435073,nan,275209.4679144153,7.43914197658413,-1,1726.3281086760753,0.0,0.0,0.0,35.5,0.3170731707317073,0.12195121951219512,O5,de-protonated,,0,,C41 H13 O5,41,13,5,
2,593.0820452356501,593.0820452356501,592.074107444949,6469034.8640819015,nan,180997.3119366648,27.55836082011744,-1,1702.3845123893364,0.0,0.0,0.0,37.5,0.3023255813953488,0.09302325581395349,O4,de-protonated,,0,,C43 H13 O4,43,13,4,
3,597.0754291924612,597.0754291924612,597.076017490259,2068238.426915153,nan,134839.10894778575,8.810782756393296,-1,-0.9852979864257353,0.8384900332430503,0.0,0.5030940199458301,19.0,0.7037037037037037,0.5555555555555556,N1 O15 -R,radical,,0,,C27 H19 O15 N1,27,19,15,1
4,605.0809297183079,605.0809297183079,605.081102870689,4934544.835880899,nan,152063.12451789412,21.02136870915638,-1,-0.2861639214521796,0.9852510523460122,0.0,0.5911506314076073,21.0,0.6551724137931034,0.4827586206896552,N1 O14 -R,radical,,0,,C29 H19 O14 N1,29,19,14,1
5,567.0647395512881,567.0647395512881,,3868906.6064003,nan,162257.55310330895,16.481704995981246,-1,,,,,,,,unassigned,,,,,,,,,
6,567.0663087811229,567.0663087811229,,5463881.346367143,nan,162258.1245318804,23.276364525029468,-1,,,,,,,,unassigned,,,,,,,,,
7,575.0713087215903,575.0713087215903,,9739433.203502472,nan,186665.9786183644,41.49039540593753,-1,,,,,,,,unassigned,,,,,,,,,
8,580.0696581879541,580.0696581879541,,1759661.6215911638,nan,185057.4786056693,7.496232576882939,-1,,,,,,,,unassigned,,,,,,,,,
9,583.0745286807011,583.0745286807011,,3341444.3943076613,nan,157802.2673899728,14.234693770159195,-1,,,,,,,,unassigned,,,,,,,,,
10,583.0764232748777,583.0764232748777,,4624182.129382659,nan,157802.6959610134,19.69921051547032,-1,,,,,,,,unassigned,,,,,,,,,
11,587.0717089529447,587.0717089529447,,9364333.081322271,nan,156728.69594017448,39.89245309647384,-1,,,,,,,,unassigned,,,,,,,,,
12,588.0748249834461,588.0748249834461,,2102297.732396686,nan,273806.7179139468,8.955876831392676,-1,,,,,,,,unassigned,,,,,,,,,
13,595.0748319653359,595.0748319653359,,2248638.4360681637,nan,135292.60896146248,9.57929438890816,-1,,,,,,,,unassigned,,,,,,,,,
14,595.0769607848,595.0769607848,,2614726.533038756,nan,135293.10896192447,11.138845091638458,-1,,,,,,,,unassigned,,,,,,,,,
15,597.0775112334587,597.0775112334587,,2624788.5554853342,nan,154102.55308819498,11.18170973079855,-1,,,,,,,,unassigned,,,,,,,,,
16,601.0851016849045,601.0851016849045,,3264511.328060631,nan,133939.60894898468,13.906955669626551,-1,,,,,,,,unassigned,,,,,,,,,
17,605.0824960183015,605.0824960183015,,5173077.227051935,nan,152063.55308892002,22.03752673601681,-1,,,,,,,,unassigned,,,,,,,,,
18,613.0848231619533,613.0848231619533,,2643269.346562413,nan,116727.207961776,11.26043867869326,-1,,,,,,,,unassigned,,,,,,,,,
19,613.0872526006148,613.0872526006148,,4497043.9691487,nan,350181.62381927815,19.157596601285515,-1,,,,,,,,unassigned,,,,,,,,,
